polish,english,other,type
sus,jump/leap II,,m noun
suszarnia,drying room,,f noun
suszyć,to dry (repeated),,verb
suterena,basement,,f noun
swoboda,freedom/ease,,f noun
swobodny,unconstrained,,adjective
swąd,stench,Nie ma swędu,m noun
syczeć,to hiss (repeated),,verb
syknąć,to hiss (once),,perf verb
sylwetka,silhouette,,f noun
synowa,daughter-in-law,,f noun
syty,satiated,,adjective
szacować,to estimate/assess (repeated),,verb
szacunek,respect,"Pamiętaj, szacunek to wszystko!",m noun
szafka,wall cupboard,,f noun
szaleniec,madman,Nie ma szaleńca,m noun
szaleństwo,madness/insanity,,n noun
szalony,insane,,adjective
szanowny,honourable,,adjective
szarfa,sash,,f noun
szarzeć,to turn grey (repeated),,verb
szał,frenzy/delirium/lunacy,Nie ma szału,m noun
szałas,hut,Nie ma szałasu,m noun
szczególnie,particularly/especially,,adverb
szczegół,detail,,m noun
szczekać,to bark (repeated),,verb
szczeknąć,to bark (once),,perf verb
szczelina,slit/crack/crevice/crevasse/fissure,,f noun
szczelny,hermetic/airtight,,adjective
szczepionka,vaccine,,f noun
szczery,frank/candid,,adjective
szczerze,frankly/candidly,,adverb
szczodry,bountiful,,adjective
szczodrze,bountifully,,adverb
szczotkować,to brush (repeated),,verb
szczupły,lean,,adjective
szczur,rat,,m noun
szczycić się czymś,to take pride in something,,verb
szczypta,pinch,Szczypta soli,f noun
szczyt,peak/summit,Nie ma szczytu,m noun
szczęka,jaw,,f noun
szczęściara,lucky woman,,f noun
szczęściarz,lucky man,,m noun
szelest,rustle,Nie ma szelestu,m noun
szeleścić,to rustle (repeated),,verb
szemrać,to murmur/mumble/babble,,verb
szepczesz (szeptać),You are whispering,,conjugation
szepczę (szeptać),I am whispering,,conjugation
szepnąć,to whipser (once),,perf verb
szept,whisper,,m noun
szeptać,to whisper (repeated),,verb
szereg,number/series/row,Nie ma szeregu,m noun
szeroki,wide,,adjective
szerzyć,to propagate/disseminate,,verb
szew,stitch,Nie ma szwu (lub szwa),m noun
szewc,shoemaker/cobbler,,m noun
szkaradny,hideous II,,adjective
szklany,glass,,adjective
szkodliwy,harmful,,adjective
szkodzić komuś/czemuś,to harm somebody/something (repeated),,verb
szkło,glass,,n noun
szlachetny,noble II,,adjective
szlafrok,bathrobe,,m noun
szlak,track/trail,Nie ma szlaku,m noun
szmat drogi/czasu,long way/time,Nie ma szmatu,m noun
szmata,rag,,f noun
szmer,murmur/babble,Nie ma szmeru,m noun
szminka,lipstick,,f noun
sznur,cord/line/lead,,m noun
szopa,shed,,f noun
szorować,to scrub (repeated),,verb
szpiegostwo,espionage,,n noun
szpiegować,to spy,,verb
szpikulec,spike/skewer,Nie ma szpikulca,m noun
szpilka,pin/hairpin/needle or stiletto heel,,f noun
szrama,scar II,,f noun
sztucer,rifle,,m noun
sztuczny,artificial,,adjective
szturchać,to poke/nudge (repeated),,verb
szturchnąć,to poke/nudge (once),,perf verb
sztylet,stiletto dagger,Nie ma sztyletu,m noun
szubienica,gallows,,f noun
szufelka,dustpan,,f noun
szuflada,drawer,,f noun
szum,hum/burble/lap,Nie ma szumu,m noun
szumieć,to burble,,verb
szyb,(mine) shaft,Nie ma szybu,m noun
szyba,pane (of glass),,f noun
szycie,sewing,,n noun
szyfr,cipher,Nie ma szyfru,m noun
szykować,to prepare II (repeated),,verb
szykowny,chic,,adjective
szyld,sign/signboard,Nie ma szyldu,m noun
sączyć,to sip (a drink) (repeated),,verb
sąd,court (of law),,m noun
sądowniczy,judicial,,adjective
sądzić,to think/suppose (repeated),,verb
sąsiedztwo,neighbourhood II,,n noun
sędzia,judge (profession),Prawnik słucha sędziego,m noun
sława,fame/reputation,,f noun
słodzić,to sweeten (repeated),,verb
słoma,straw,,f noun
słomianka,doormat,,f noun
słonina,bacon/lard/pork fat,,f noun
słowiański,Slavic,,adjective
słownictwo,vocabulary,,n noun
słuchacz,listener,Słuchaczka,m noun
słup,pole/pylon/post/column,,m noun
słuszny,correct/rightful/justified,,adjective
służbowo,on business,,adverb
służący,servant,,m noun
słynny,famous/well-known,,adjective
słynąć,to be famous,,verb
słój,jar,,m noun
tablica,blackboard/noticeboard,,f noun
tajemnica,(a) secret,,f noun
tajny,secret,,adjective
tak samo,equally/same,,phrase
tak zwany,so-called,,phrase
tamtejszy,local,,adjective
tandeta,crap/tat/rubbish,,f noun
taniejesz (tanieć),You are becoming cheaper,,conjugation
tanieję (tanieć),I am becoming cheaper,,conjugation
tanieć,to become cheaper (repeated),,verb
tapicer,upholsterer,,m noun
tarcza,shield/clock-face/target/disc,,f noun
tarka,grater,,f noun
tarzać się w czymś,to wallow/roll in something,,verb
taszczyć,to lug (repeated),,verb
taśma,(sticky) tape,,f noun
tchórz,(a) coward,,m noun
teczka,briefcase,,f noun
tematyka,subject matter,,f noun
temblak,(arm) sling,Nie ma temblaku,m noun
temu,ago,Dwa tygodnie temu dostałem pracę,adverb
teoria,theory,,f noun
teraźniejszość,the present,,f noun
termin,deadline/date,,m noun
terminarz,calendar,,m noun
teza,thesis,,f noun
teściowa,mother-in-law,,f noun
teść,father-in-law,,m noun
tkanina,fabric/cloth,,f noun
tkanka,tissue,,f noun
tkać,to weave (repeated),,verb
tkliwy,affectionate/loving,,adjective
tkwisz (tkwić),You are getting stuck,,conjugation
tkwić,to get stuck (repeated),,verb
tkwię (tkwić),I am getting stuck,,conjugation
tlen,oxygen,Nie ma tlenu,m noun
tobołek,bundle II,Nie ma tobołka,m noun
toczyć się,to roll/trundle/wheel (repeated),,verb
tom,volume (of a book),Nie ma tomu,m noun
toniesz (tonąć),You are sinking,,conjugation
tonąć,to sink (repeated),,verb
tonę (tonąć),I am sinking,,conjugation
topić,to drown (repeated),,verb
topnieć,to thaw (repeated),,verb
topola,poplar tree,,f noun
topór,large axe,Nie ma topora,m noun
tors,torso,Nie ma torsu,m noun
towar,goods/commodity,Nie ma towaru,m noun
towarzyski,gregarious,,adjective
towarzystwo,company I,,n noun
towarzyszyć,to accompany,,verb
toń,depths,,f noun
tożsamość,identity,,f noun
tracisz (tracić),You are losing (something),,conjugation
tracić,to lose (something) (repeated),,verb
tracę (tracić),I am losing (something),,conjugation
traf,chance,Nie ma trafu,m noun
trafiać,to hit (repeated),,verb
trafić,to hit (once),,perf verb
trafny,accurate/apt,,adjective
trajkotać,to babble/chatter II,,verb
traktować,to treat/handle (repeated),,verb
trapić się o coś,to worry about something,,verb
traszka,newt,,f noun
tratwa,raft,,f noun
trawnik,lawn,,m noun
treść,content,,f noun
trop,clue/trail/scent,Nie ma tropu,m noun
troska,worry/care/concern,,f noun
troszczyć się,"to care for, to take care of (repeated)",,verb
trucht,trot,Nie ma truchtu,m noun
trucizna,poison,,f noun
trud,difficulty,Nie ma trudu,m noun
trudzić kogoś czymś,to bother/trouble somebody with something,,verb
trujący,poisonous,,adjective
trumna,coffin/casket,,f noun
trup,corpse,,m noun
truć kogoś czymś,to poison somebody with something (repeated),,verb
trwać,to last/persist,,verb
trwałość,durability,,f noun
trwały,durable,,adjective
trwoga,fear/terror,,f noun
trwonić,to squander (repeated),,verb
tryskać,to squirt/gush (repeated),,verb
trysnąć,to squirt/gush (once),,perf verb
trzaskać,to slam (repeated),,verb
trzasnąć,to slam (once),,perf verb
trzeźwy,sober,,adjective
trzysta,three hundred,,numeral
trząść się,to shake (repeated),,verb
trzęsienie ziemi,earthquake,,phrase
trzęsiesz się (trząść się),You are shaking,,conjugation
trzęsę się (trząść się),I am shaking,,conjugation
trąbić,to honk/bellow (repeated),,verb
trąbka,trumpet,,f noun
tu i ówdzie,here and there,,phrase
tuzin,dozen,,m noun
tuż,nearby/just,Tuż przed/po czymś,adverb
twierdzić,to assert/claim (repeated),,verb
tworzyć,to create (repeated),,verb
tycie,weight gain,,n noun
tyczyć się,to concern II,,verb
tydzień,week,,m noun
tyjesz (tyć),You are gaining weight,,conjugation
tyję (tyć),I am gaining weight,,conjugation
tyle,so many/much,Nawet nie tyle (Not even that much),adverb
tylny,rear,,adjective
tymczasem,meanwhile,,adverb
tymczasowo,temporarily,,adverb
tynkować,to plaster (repeated),,verb
typowy,typical,,adjective
tyrać,to slave,,verb
tysiąc,one thousand,,numeral
tytoń,tobacco,Nie ma tytoniu,m noun
tyć,to gain weight (repeated),,verb
tęgi,stout,,adjective
tępy,blunt/dull,,adjective
tęsknota,a longing,,f noun
tętnić,to pulsate/throb,,verb
tło,background,,n noun
tłuc,to shatter (repeated),,verb
tłuczesz (tłuc),You are shattering,,conjugation
tłukę (tłuc),I am shattering,,conjugation
tłum,crowd,Nie ma tłumu,m noun
tłumaczyć,to explain/translate/interpret (repeated),,verb
tłusty,fat,,adjective
u stóp czegoś,at the foot of something,,phrase
ubezpieczenie,insurance,,n noun
ubezpieczony,insured,,adjective
ubiegać się o coś,to apply for something,,verb
ubiegły,last,W ubiegłym roku,adjective
ubierać,to dress (repeated),,verb
ubocze,out-of-the-way place,,n noun
ubogi,"poor (as in, not rich)",,adjective
ubrać,to dress (once),,perf verb
ubrudzić,to dirty (once),,perf verb
ubóstwo,poverty,,n noun
ubóść,to butt (once),,perf verb
ubłagać,to beg (once),,perf verb
uchodzić za kogoś,to pass as somebody (repeated),,verb
uchwalać,to enact/pass (repeated),,verb
uchwalić,to enact/pass (once),,perf verb
ucichnąć,to quieten down (once),,perf verb
uciec,to run away/escape (once),,perf verb
ucieczka,getaway/escape,,f noun
uciekać,to run away/escape (repeated),,verb
uciekinier,escapee/fugitive,,m noun
uciekniesz (uciec),You will run away,,conjugation
ucieknę (uciec),I will run away,,conjugation
uciszać,to silence (repeated),,verb
uciszyć,to silence (once),,perf verb
uciułać,to collect (money) laboriously (once),,perf verb
uczcić,to honour (once),,perf verb
uczelnia,university/college,,f noun
uczesać,to comb (once),,perf verb
uczestniczyć,to participate,,verb
uczestnik,participant,,m noun
uczta,feast,,f noun
uczucie,feeling,,n noun
uczuciowy,emotional,,adjective
uczynić,to do/make something significant (once),,perf verb
uczyć się,to learn (repeated),,verb
uczęszczać,to attend,,verb
udany,successful,,adjective
udawać,to fake/pretend (repeated),,verb
udawać się,to succeed (repeated),,verb
udać,to fake/pretend (once),,perf verb
udać się,to succeed (once),,perf verb
uderzać się,to hit/bump (repeated),,verb
uderzyć się,to hit/bump (once),,perf verb
udo,thigh,,n noun
udoskonalenie,improvement/refinement/perfection,,n noun
udowodniać,to prove (repeated),,verb
udowodnić,to prove (once),,perf verb
udręczać,to torment (repeated),,verb
udręczyć,to torment (once),,perf verb
udręka,torment,,f noun
udusić,to strangle (once),,perf verb
udział,participation,Brać udział w czymś (to take part in something),m noun
udziałowiec,shareholder,Nie ma udziałowca,m noun
udzielać,to dish out (repeated),,verb
udzielić,to dish out (once),,perf verb
ufać,to trust (repeated),,verb
ufny,trusting/trustful,,adjective
ujawniać,to disclose (repeated),,verb
ujawnić,to disclose (once),,perf verb
ujmować,to grasp (repeated),,verb
ująć,to grasp (once),,perf verb
ujść za kogoś,to pass as somebody (once),,perf verb
ukarać,to punish (once),,perf verb
ukazać,to portray/depict (once),,perf verb
ukazywać,to portray/depict (repeated),,verb
ukołysać,to rock/sway (once),,perf verb
ukradkiem,furtively/steathily,,adverb
ukraść,to steal (once),,perf verb
ukroić,to cut I (once),,perf verb
ukryjesz (ukryć),You will hide/conceal,,conjugation
ukryję (ukryć),I will hide/conceal,,conjugation
ukryty,hidden,,adjective
ukrywać,to hide/conceal (repeated),,verb
ukryć,to hide/conceal (once),,perf verb
ukształtować,to shape (once),,perf verb
układ,arrangement/layout,Nie ma układu,m noun
układać,to arrange/align (repeated),,verb
ukłucie,prick/sting,,n noun
ulatniać się,to escape/vanish/evaporate (repeated),,verb
ulec komuś/czemuś,to give into somebody or something (once),,perf verb
ulegać komuś/czemuś,to give into somebody or something (repeated),,verb
ulegniesz komuś/czemuś (ulec),You will give into somebody or something,,conjugation
ulegnę komuś/czemuś (ulec),I will give into somebody or something,,conjugation
ulewa,downpour,,f noun
ulewny,torrential,,adjective
ulga,relief,,f noun
ulgowy,reduced,,adjective
uliczny,street,,adjective
ulokować,to place (once),,perf verb
ulotnić się,to escape/vanish/evaporate (once),,perf verb
ulubieniec,favourite,,m noun
ulżysz (ulżyć),You are lightening/easing,,verb
ulżyć,to lighten/ease,,verb
ulżę (ulżyć),I am lightening/easing,,verb
umarzać,to write off (repeated),,verb
umawiać się z kimś,to arrange to meet with someone (repeated),,verb
umeblować,to furnish (once),,perf verb
umiar,moderation,Nie ma umiaru,m noun
umiarkowany,temperate/moderate,,adjective
umiejętność,ability/skill,,f noun
umierać,to die (repeated),,verb
umieć,"to know how, to be able",,verb
umilać,to pass time pleasantly (repeated),,verb
umilić,to pass time pleasantly (once),,perf verb
umorzony,written off,,adjective
umorzyć,to write off (once),,perf verb
umowa,agreement/deal/treaty,,f noun
umożliwiać,to enable or to make possible (repeated),,verb
umożliwić,to enable or to make possible (once),,perf verb
umrzeć,to die (once),,perf verb
umysł,mind,,m noun
umysłowy,intellectual/mental,,adjective
umywalka,bathroom sink,,f noun
umyć,to wash (once),,perf verb
umówić się z kimś,to arrange to meet with someone (once),,perf verb
uniesienie,elation/passion,,adjective
uniesiesz się (unieść się),You will hover,,conjugation
unieważnienie,invalidation,,n noun
unieść się,to hover (once),,perf verb
unikać,to avoid (repeated),,verb
uniknąć,to avoid (once),,perf verb
uniosę się (unieść się),I will hover,,conjugation
unosić się,to hover (repeated),,verb
uosobienie,epitome/embodiment,,n noun
upadać,to fall (repeated),,verb
upadek,fall/downfall,,m noun
upadniesz (upaść),You will fall,,conjugation
upadnij (upaść),Fall! (once),,imperative
upadnę (upaść),I will fall,,conjugation
upajać,to inebriate/intoxicate (repeated),,verb
upalny,sweltering,,adjective
upamiętniać,to commemorate (repeated),,verb
upamiętnić,to commemorate (once),,perf verb
uparty,stubborn/obstinate,,adjective
upał,heat,Nie ma upału,m noun
upaść,to fall (once),,perf verb
upewniaj się (upewniać się),Make sure! (repeated),,imperative
upewniam się (upewniać się),I am making sure of,,conjugation
upewniasz się (upewniać się),You are making sure of,,conjugation
upewniać się,to make sure of (repeated),,verb
upewnij się (upewnić się),Make sure! (once),,imperative
upewnisz się (upewnić się),You will make sure of,,conjugation
upewnić się,to make sure of (once),,perf verb
upewnię się (upewnić się),I will make sure of,,conjugation
upierać się,to insist (repeated),,verb
upinać,to pin up (repeated),,verb
upiąć,to pin up (once),,perf verb
uplatać,to plait/weave (repeated),,verb
upleciesz (upleść),You will plait/weave,,conjugation
upleść,to plait/weave (once),,perf verb
uplotę (upleść),I will plait/weave,,conjugation
upodabniać,to make similar (repeated),,verb
upodobanie,fancy/partiality/liking/penchant,,n noun
upodobnić,to make similar (once),,perf verb
upoić,to inebriate/intoxicate (once),,perf verb
upokarzać,to humiliate (repeated),,verb
upokorzyć,to humiliate (once),,perf verb
upominam (upominać),I am rebuking,,conjugation
upominasz (upominać),You are rebuking,,conjugation
upominać,to rebuke (repeated),,verb
upomniesz (upomnieć),You will rebuke,,conjugation
upomnieć,to rebuke (once),,perf verb
